,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
0,0,0.036036036036036036,0.024024024024024024,0.007007007007007007,0.002002002002002002,0.003003003003003003,0.7487487487487487
1,1,0.6216216216216216,0.25925925925925924,0.11911911911911911,0.25225225225225223,0.8918918918918919,0.003003003003003003
2,2,0.001001001001001001,0.006006006006006006,0.001001001001001001,0.10510510510510511,0.023023023023023025,0.996996996996997
3,3,1.0,0.3743743743743744,0.8828828828828829,0.12112112112112113,0.16516516516516516,0.26126126126126126
4,4,1.0,1.0,1.0,1.0,1.0,1.0
5,5,1.0,1.0,1.0,1.0,1.0,1.0
6,6,0.14614614614614616,1.0,0.5345345345345345,1.0,0.2552552552552553,1.0
7,7,0.36236236236236236,0.023023023023023025,0.3833833833833834,0.4014014014014014,0.3843843843843844,0.24624624624624625
8,8,0.06506506506506507,0.17917917917917917,0.03003003003003003,0.008008008008008008,0.004004004004004004,0.09009009009009009
9,9,0.003003003003003003,0.006006006006006006,0.02002002002002002,0.005005005005005005,0.036036036036036036,0.005005005005005005
10,10,0.001001001001001001,0.03303303303303303,0.057057057057057055,0.017017017017017015,0.028028028028028028,0.06006006006006006
11,11,0.14914914914914915,0.037037037037037035,0.7967967967967968,0.4164164164164164,0.11211211211211211,0.10810810810810811
12,12,1.0,1.0,0.1871871871871872,1.0,1.0,1.0
13,13,1.0,0.6046046046046046,0.4544544544544544,0.16916916916916916,1.0,0.3763763763763764
14,14,0.17117117117117117,0.05305305305305305,0.08408408408408408,1.0,0.11911911911911911,1.0
15,15,1.0,1.0,1.0,1.0,1.0,1.0
16,16,0.025025025025025023,0.024024024024024024,0.04504504504504504,0.4964964964964965,0.02102102102102102,0.004004004004004004
17,17,0.32232232232232233,0.3713713713713714,1.0,1.0,1.0,1.0
18,18,0.004004004004004004,0.008008008008008008,0.001001001001001001,0.012012012012012012,0.002002002002002002,0.011011011011011011
19,19,0.006006006006006006,0.012012012012012012,0.07507507507507508,0.16816816816816815,0.01901901901901902,0.024024024024024024
20,20,1.0,1.0,1.0,1.0,1.0,1.0
21,21,0.24524524524524524,0.13313313313313313,0.08608608608608609,0.062062062062062065,0.0970970970970971,0.12712712712712712
22,22,0.0960960960960961,0.08308308308308308,1.0,1.0,1.0,1.0
23,23,0.002002002002002002,0.002002002002002002,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.016016016016016016
24,24,1.0,1.0,1.0,1.0,1.0,1.0
25,25,0.16816816816816815,1.0,1.0,1.0,1.0,1.0
26,26,1.0,1.0,1.0,0.30430430430430433,0.14114114114114115,0.2502502502502503
27,27,0.09509509509509509,0.09509509509509509,0.03203203203203203,0.01001001001001001,0.04904904904904905,0.1061061061061061
28,28,0.014014014014014014,0.008008008008008008,0.023023023023023025,0.12012012012012012,0.024024024024024024,0.022022022022022022
29,29,0.006006006006006006,0.002002002002002002,0.002002002002002002,0.001001001001001001,0.012012012012012012,0.001001001001001001
30,30,1.0,1.0,0.7907907907907907,1.0,1.0,1.0
31,31,1.0,1.0,1.0,1.0,1.0,1.0
32,32,0.023023023023023025,1.0,0.19119119119119118,1.0,0.04204204204204204,0.055055055055055056
33,33,0.1931931931931932,0.4544544544544544,0.15415415415415415,1.0,0.36436436436436437,0.23623623623623624
34,34,0.4854854854854855,0.036036036036036036,0.003003003003003003,1.0,0.003003003003003003,0.004004004004004004
35,35,0.01001001001001001,0.06106106106106106,0.1971971971971972,0.7467467467467468,0.024024024024024024,0.06006006006006006
36,36,1.0,1.0,1.0,1.0,1.0,1.0
37,37,1.0,1.0,1.0,1.0,1.0,1.0
38,38,1.0,1.0,1.0,1.0,1.0,1.0
39,39,0.4574574574574575,0.4114114114114114,0.06606606606606606,1.0,1.0,1.0
40,40,0.4934934934934935,0.4194194194194194,0.044044044044044044,0.12712712712712712,0.1061061061061061,0.15715715715715717
41,41,0.02102102102102102,0.013013013013013013,0.003003003003003003,0.002002002002002002,0.001001001001001001,1.0
42,42,0.12712712712712712,0.2182182182182182,1.0,1.0,0.031031031031031032,1.0
43,43,0.023023023023023025,0.006006006006006006,0.003003003003003003,0.1111111111111111,0.002002002002002002,0.008008008008008008
44,44,0.036036036036036036,0.005005005005005005,0.005005005005005005,0.27427427427427425,0.02002002002002002,0.001001001001001001
45,45,1.0,0.9019019019019019,0.06606606606606606,1.0,0.1891891891891892,0.5055055055055055
46,46,0.3283283283283283,0.005005005005005005,0.007007007007007007,0.035035035035035036,0.024024024024024024,0.04604604604604605
47,47,0.12912912912912913,0.05305305305305305,1.0,0.018018018018018018,0.02102102102102102,0.01901901901901902
48,48,0.029029029029029027,0.058058058058058054,0.5975975975975976,0.2922922922922923,0.1961961961961962,0.050050050050050046
49,49,0.03903903903903904,0.07007007007007007,1.0,1.0,1.0,0.14814814814814814
50,50,0.11311311311311312,0.13013013013013014,0.08808808808808809,0.2862862862862863,0.009009009009009009,0.031031031031031032
51,51,1.0,1.0,1.0,1.0,1.0,1.0
52,52,0.06006006006006006,0.036036036036036036,0.023023023023023025,0.8808808808808809,0.12512512512512514,0.05105105105105105
53,53,0.990990990990991,0.0980980980980981,0.8898898898898899,1.0,1.0,1.0
54,54,0.006006006006006006,0.008008008008008008,0.024024024024024024,0.2042042042042042,0.08108108108108109,0.023023023023023025
55,55,1.0,1.0,1.0,1.0,1.0,1.0
56,56,0.012012012012012012,0.012012012012012012,0.002002002002002002,0.05305305305305305,0.003003003003003003,0.013013013013013013
57,57,1.0,1.0,1.0,1.0,1.0,1.0
58,58,0.4894894894894895,1.0,0.9139139139139139,1.0,0.15915915915915915,1.0
59,59,1.0,1.0,1.0,1.0,1.0,1.0
60,60,1.0,1.0,0.22022022022022023,0.33433433433433435,1.0,1.0
61,61,0.017017017017017015,0.02702702702702703,0.003003003003003003,1.0,0.008008008008008008,0.7327327327327328
62,62,1.0,1.0,1.0,1.0,1.0,1.0
63,63,0.017017017017017015,0.39039039039039036,0.005005005005005005,0.07207207207207207,0.009009009009009009,0.01901901901901902
64,64,0.018018018018018018,0.03203203203203203,0.14214214214214213,0.3883883883883884,0.05205205205205205,0.22822822822822822
65,65,1.0,0.3063063063063063,0.5445445445445445,1.0,0.8838838838838838,1.0
66,66,1.0,1.0,1.0,1.0,1.0,1.0
67,67,1.0,1.0,1.0,1.0,1.0,1.0
68,68,0.016016016016016016,0.04004004004004004,0.001001001001001001,0.003003003003003003,0.001001001001001001,0.007007007007007007
69,69,1.0,1.0,0.16716716716716717,1.0,1.0,1.0
70,70,0.006006006006006006,0.03903903903903904,0.006006006006006006,0.05105105105105105,0.011011011011011011,0.058058058058058054
71,71,0.001001001001001001,0.002002002002002002,0.002002002002002002,0.17217217217217218,0.003003003003003003,0.006006006006006006
72,72,0.028028028028028028,0.013013013013013013,0.003003003003003003,1.0,0.002002002002002002,0.014014014014014014
73,73,0.012012012012012012,0.005005005005005005,0.8838838838838838,0.1981981981981982,0.1021021021021021,0.6356356356356356
74,74,0.1041041041041041,0.2122122122122122,0.012012012012012012,1.0,0.04604604604604605,0.09309309309309309
75,75,0.03203203203203203,0.01901901901901902,0.017017017017017015,0.1881881881881882,0.044044044044044044,0.026026026026026026
76,76,1.0,1.0,1.0,1.0,1.0,1.0
77,77,0.001001001001001001,0.005005005005005005,0.001001001001001001,0.02102102102102102,0.001001001001001001,0.022022022022022022
78,78,0.06806806806806806,0.015015015015015015,0.055055055055055056,0.4044044044044044,0.06306306306306306,0.024024024024024024
79,79,0.24624624624624625,0.6306306306306306,0.002002002002002002,0.5785785785785785,0.031031031031031032,0.18518518518518517
80,80,0.2062062062062062,0.17217217217217218,1.0,1.0,1.0,1.0
81,81,0.1091091091091091,0.09309309309309309,0.005005005005005005,0.45545545545545546,0.03003003003003003,0.1061061061061061
82,82,0.006006006006006006,1.0,0.001001001001001001,0.005005005005005005,0.004004004004004004,0.005005005005005005
83,83,0.06806806806806806,0.09509509509509509,0.12512512512512514,0.43743743743743746,0.055055055055055056,0.6856856856856857
84,84,1.0,1.0,1.0,1.0,1.0,1.0
85,85,0.13113113113113112,0.025025025025025023,0.05305305305305305,1.0,0.05905905905905906,1.0
86,86,1.0,1.0,1.0,1.0,1.0,1.0
87,87,0.1021021021021021,0.04004004004004004,0.09309309309309309,0.1921921921921922,0.11911911911911911,0.10010010010010009
88,88,1.0,1.0,1.0,1.0,1.0,1.0
89,89,0.04004004004004004,0.03303303303303303,0.0990990990990991,0.25925925925925924,0.02702702702702703,0.38738738738738737
90,90,0.10010010010010009,0.06106106106106106,1.0,0.0970970970970971,0.014014014014014014,0.32932932932932935
91,91,0.4894894894894895,0.8628628628628628,0.26626626626626626,0.09109109109109109,0.07407407407407407,0.16116116116116116
92,92,1.0,1.0,1.0,1.0,1.0,1.0
93,93,0.002002002002002002,0.04604604604604605,0.022022022022022022,0.011011011011011011,0.004004004004004004,0.013013013013013013
94,94,0.23223223223223222,0.2022022022022022,0.15615615615615616,1.0,1.0,1.0
95,95,0.26426426426426425,1.0,1.0,1.0,0.23023023023023023,0.03803803803803804
96,96,0.07307307307307308,0.02702702702702703,0.954954954954955,1.0,0.13013013013013014,1.0
